	朝日新聞縮刷版 2017-7					朝日新聞社	朝日新聞出版	2017.8	59, 1452p	28cm						¥6000	
	腫瘍内科 第20巻第2号(2017年8月)	CLINICAL ONCOLOGY	腫瘍内科編集委員会 編集			科学評論社		2017.8	p89〜180	26cm					特集免疫療法の進歩と問題点	¥3000	
	国民衛生の動向 2017/2018		厚生労働統計協会 編集			厚生労働統計協会		2017.8	504p	26cm						¥2315	
	埼玉新聞縮刷版 平成29年7月号					埼玉新聞社		2017.8	656p	29cm						¥4444	
	改正地方税制詳解 平成29年		地方財務協会 編集			地方財務協会		2017.8	475p	26cm						¥4075	
	地方公務員給与の実態 平成28年		地方財務協会 編集			地方財務協会		2017.7	561p	30cm						¥6019	
	中日新聞縮刷版 2017-7					中日新聞社		2017.8	1278, 8p	30cm						¥5524	
	アナリスト・エコノミスト名鑑 2017年版		日経リサーチ 編集			日経リサーチ		2017.4	322p	21cm						¥10000	
	日経産業新聞縮刷版 2017年7月号					日本経済新聞社	日本経済新聞出版社	2017.8	408, 30p	29cm						¥6200	
	日本経済新聞縮刷版 2017-7					日本経済新聞社	日本経済新聞出版社	2017.8	1552, 68p	29cm						¥7300	
	数字でみる港湾 2017		国土交通省港湾局 監修			日本港湾協会		2017.7	259p	19cm						¥926	
	評価倍率表 2017滋賀県・京都府					納税協会連合会	清文社	2017.7	490p	30cm		財産評価基準書 平成29年分1/49				¥8300	
	評価倍率表 2017大阪府					納税協会連合会	清文社	2017.7	227p	30cm		財産評価基準書 平成29年分2/49				¥5100	
	評価倍率表 2017兵庫県					納税協会連合会	清文社	2017.7	415p	30cm		財産評価基準書 平成29年分3/49				¥7500	
	評価倍率表 2017奈良県・和歌山県					納税協会連合会	清文社	2017.7	416p	30cm		財産評価基準書 平成29年分4/49				¥7600	
	路線価図 2017大阪府1					納税協会連合会	清文社	2017.7	1冊	30cm		財産評価基準書 平成29年分15/49			大阪福島 西 港 天王寺 浪速	¥7200	
	路線価図 2017大阪府2					納税協会連合会	清文社	2017.7	1冊	30cm		財産評価基準書 平成29年分16/49			西淀川 東成 生野 旭 城東	¥7900	
	路線価図 2017大阪府3					納税協会連合会	清文社	2017.7	1冊	30cm		財産評価基準書 平成29年分17/49			阿倍野 住吉 東住吉 西成	¥9200	
	路線価図 2017大阪府4					納税協会連合会	清文社	2017.7	1冊	30cm		財産評価基準書 平成29年分18/49			東淀川 北・大淀 東・南	¥6800	
	路線価図 2017大阪府5					納税協会連合会	清文社	2017.7	1冊	30cm		財産評価基準書 平成29年分19/49			堺	¥10600	
	路線価図 2017大阪府6					納税協会連合会	清文社	2017.7	1冊	30cm		財産評価基準書 平成29年分20/49			岸和田	¥6100	
	路線価図 2017大阪府7					納税協会連合会	清文社	2017.7	1冊	30cm		財産評価基準書 平成29年分21/49			豊能	¥8200	
	路線価図 2017大阪府8					納税協会連合会	清文社	2017.7	1冊	30cm		財産評価基準書 平成29年分22/49			吹田	¥6500	
	路線価図 2017大阪府9					納税協会連合会	清文社	2017.7	1冊	30cm		財産評価基準書 平成29年分23/49			泉大津	¥6800	
	路線価図 2017大阪府10					納税協会連合会	清文社	2017.7	1冊	30cm		財産評価基準書 平成29年分24/49			枚方	¥9500	
	路線価図 2017大阪府11					納税協会連合会	清文社	2017.7	1冊	30cm		財産評価基準書 平成29年分25/49			茨木	¥9600	
	路線価図 2017大阪府12					納税協会連合会	清文社	2017.7	1冊	30cm		財産評価基準書 平成29年分26/49			八尾	¥7700	
	路線価図 2017大阪府13					納税協会連合会	清文社	2017.7	1冊	30cm		財産評価基準書 平成29年分27/49			泉佐野	¥8900	
	路線価図 2017大阪府14					納税協会連合会	清文社	2017.7	1冊	30cm		財産評価基準書 平成29年分28/49			富田林	¥12400	
	路線価図 2017大阪府15					納税協会連合会	清文社	2017.7	1冊	30cm		財産評価基準書 平成29年分29/49			門真	¥6500	
	路線価図 2017大阪府16					納税協会連合会	清文社	2017.7	1冊	30cm		財産評価基準書 平成29年分30/49			東大阪	¥6400	
	路線価図 2017兵庫県1					納税協会連合会	清文社	2017.7	1冊	30cm		財産評価基準書 平成29年分31/49			灘 兵庫	¥10700	
	路線価図 2017兵庫県2					納税協会連合会	清文社	2017.7	1冊	30cm		財産評価基準書 平成29年分32/49			長田 須磨 神戸	¥9000	
	路線価図 2017兵庫県3					納税協会連合会	清文社	2017.7	1冊	30cm		財産評価基準書 平成29年分33/49			姫路	¥12300	
