ISBN	タイトル	サブタイトル	著者	著者2	版表示	出版社	発売者	出版年月	ページ数等	大きさ	付属資料の種類と形態	シリーズ名・シリーズ番号	シリーズ名・シリーズ番号2	シリーズ名・シリーズ番号3	各巻のタイトル	本体価格	セット本体価格
	精神科 Vol.31No.3(2017Sept.)	PSYCHIATRY	精神科編集委員会 編集			科学評論社		2017.9	p183〜274	26cm					特集Ⅰ各国の精神科医療事情 特集Ⅱ措置入院の現状と課題	¥3000	
	国民の福祉と介護の動向 2017/2018		厚生労働統計協会 編集			厚生労働統計協会		2017.9	327p	26cm						¥2037	
	役員四季報 2018年版					東洋経済新報社		2017.10	1761p	18cm		東洋経済別冊 203				¥4574	
	日用品・化粧品・生活用品ダイジェスト 2017年度版	HOMEPRODUCTS&COSMETICS YEAR BOOK				日用品化粧品新聞社		2017.6	263p	30cm						¥5000	
	アルミニウム統計年報 平成28年					日本アルミニウム協会		2017.8	22, 66p	21×30cm						¥5000	
	アジ研ワールド・トレンド No.263(2017-9月号)	発展途上国の明日を展望する分析情報誌	日本貿易振興機構アジア経済研究所研究支援部 編集			日本貿易振興機構アジア経済研究所研究支援部		2017.8	40p	29cm					特集「ビジネスと人権に関する国連指導原則」にもとづく日本の行動計画策定にあたって	¥600	
	haru_mi vol.45(2017秋)		栗原はるみ 著			扶桑社		2017発売	162p	28cm					もっと、もっと。こねないパン	¥933	
	読売新聞縮刷版 2017-7					読売新聞東京本社		2017.8	20, 1430p	28cm						¥5524	
978-4-00-022956-2	これがすべてを変える 上	資本主義vs.気候変動	ナオミ・クライン 著	幾島幸子 訳		岩波書店		2017.8	309, 55p	20cm						¥2700	
978-4-00-022957-9	これがすべてを変える 下	資本主義vs.気候変動	ナオミ・クライン 著	幾島幸子 訳		岩波書店		2017.8	p311〜629 77p	20cm						¥2700	
978-4-00-024724-5	政治経済の生態学	スウェーデン・日本・米国の進化と適応	スヴェン・スタインモ 著	山崎由希子 訳		岩波書店		2017.8	278, 30p	20cm						¥3800	
978-4-00-024822-8	マッド・トラベラーズ	ある精神疾患の誕生と消滅	イアン・ハッキング 著	江口重幸 訳		岩波書店		2017.8	319, 22p	22cm						¥5400	
978-4-00-061215-9	視覚の生命力	イメージの復権	柏木博 著			岩波書店		2017.8	298p	20cm						¥2800	
978-4-00-431673-2	中原中也	沈黙の音楽	佐々木幹郎 著			岩波書店		2017.8	283, 6p	18cm		岩波新書 新赤版 1673				¥900	
978-4-02-100266-3	花鈴のマウンド 2		きみどり マンガ	紫々丸 原作			朝日新聞出版	2017.9	162p	19cm		ソノラマ+コミックス				¥463	
978-4-02-190754-8	はじめてのレース編み四季のエジング&ブレード100+30				増補改訂版	アップルミンツ	朝日新聞出版	2017.9	95p	26cm		Asahi Original 764				¥1600	
